keyword,emr_frequency,article_frequency,category,tfidf_emr,tfidf_article
bnp,80,0,emr_only,0.0819,0.0242
creatinine,80,0,emr_only,0.0819,0.013
potassium,80,0,emr_only,0.0819,0.013
sodium,80,0,emr_only,0.0819,0.023
chest,50,0,emr_only,0.0829,0.0242
discomfort,50,0,emr_only,0.0829,0.0
fatigue,42,0,emr_only,0.0747,0.0121
allergy,40,0,emr_only,0.041,0.0
lab,40,0,emr_only,0.041,0.0
past,40,0,emr_only,0.041,0.0
disease,38,4,common,0.0701,0.0407
leg,38,2,common,0.071,0.0234
dyspnea,36,3,common,0.0638,0.0328
digoxin,32,0,emr_only,0.0612,0.0169
weight,28,2,common,0.0572,0.0222
gain,28,0,emr_only,0.0572,0.0121
hypertension,28,0,emr_only,0.0575,0.0131
losartan,28,0,emr_only,0.0567,0.0
diabetes,26,0,emr_only,0.0558,0.0131
mellitus,26,0,emr_only,0.0558,0.0131
function,0,5,article_only,0.0,0.0492
reduce,0,5,article_only,0.0,0.0514
reduced,0,5,article_only,0.0467,0.045
inhibitors,0,4,article_only,0.0,0.0442
therapy,0,4,article_only,0.0,0.0403
atrial,0,3,article_only,0.052,0.0353
blood,0,3,article_only,0.0,0.0311
diuretics,0,3,article_only,0.0,0.0323
edema,0,3,article_only,0.0497,0.0315
fibrillation,0,3,article_only,0.052,0.0353
fluid,0,3,article_only,0.0,0.0316
rate,0,3,article_only,0.0,0.0358
selected,0,3,article_only,0.0,0.035
chronic,0,2,article_only,0.0427,0.0217
orthopnea,0,2,article_only,0.0555,0.0221
preserved,0,2,article_only,0.0521,0.0226
